Dec 11 08:51:40.280006 - 14908/9360 FOREIGN_THREAD                    	Package name not passed to SetupPackageRDB.  Using current running package. 
Dec 11 08:51:40.280007 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Entering IntSvrPkgGetSpecIniPrivateProfileString 
Dec 11 08:51:40.280008 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Entering IntSvrPkgGetSpecIniFilePath 
Dec 11 08:51:40.280009 - 14908/9360 FOREIGN_THREAD                    	Entering IntSvrPkgGetINIPaths 
Dec 11 08:51:40.280010 - 14908/9360 FOREIGN_THREAD                    	Entering IntSvrPkgGetINIPaths 
Dec 11 08:51:40.280011 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Exiting IntSvrPkgGetSpecIniFilePath 
Dec 11 08:51:40.280012 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Exiting IntSvrPkgGetSpecIniPrivateProfileString 
Dec 11 08:51:40.280013 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Entering IntSvrPkgGetSpecIniPrivateProfileString 
Dec 11 08:51:40.280014 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Entering IntSvrPkgGetSpecIniFilePath 
Dec 11 08:51:40.280015 - 14908/9360 FOREIGN_THREAD                    	Entering IntSvrPkgGetINIPaths 
Dec 11 08:51:40.280016 - 14908/9360 FOREIGN_THREAD                    	Entering IntSvrPkgGetINIPaths 
Dec 11 08:51:40.280017 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Exiting IntSvrPkgGetSpecIniFilePath 
Dec 11 08:51:40.280018 - 14908/9360 FOREIGN_THREAD                    	PKGBLD: Exiting IntSvrPkgGetSpecIniPrivateProfileString 
Dec 11 08:51:40.281000 - 14908/9360 FOREIGN_THREAD                    	Local RDBMS data format is always XML. 
Dec 11 08:51:40.281001 - 14908/1124 MAIN_THREAD                       	ORACLE DBInitReq conn=0BC004B0 requ=2B978410 chameleon (JDESYS) new [ 14] 
Dec 11 08:51:40.281002 - 14908/1124 MAIN_THREAD                       	SELECT  *  FROM DD910.F9203  WHERE  ( FRDTAI = 'ALLROLE' AND FRLNGP = '  ' AND FRSYR = ' ' AND FRSCRN = ' ' ) 
Dec 11 08:51:40.283000 - 14908/1124 MAIN_THREAD                       	ORACLE DBFetch conn=0BC004B0 requ=2B978410 maxrows=100 
Dec 11 08:51:40.284000 - 14908/1124 MAIN_THREAD                       	ORACLE DBFetch conn=0BC004B0 requ=2B978410 fetched=1 
Dec 11 08:51:40.284001 - 14908/1124 MAIN_THREAD                       	Opening up local metadata repository. Type - JDESPECTYPE_GBRLINK. 
Dec 11 08:51:40.284002 - 14908/1124 MAIN_THREAD                       	PKGBLD: Entering IntSvrPkgGetSpecIniFilePath 
Dec 11 08:51:40.284003 - 14908/1124 MAIN_THREAD                       	Entering IntSvrPkgGetINIPaths 
Dec 11 08:51:40.284004 - 14908/1124 MAIN_THREAD                       	Entering IntSvrPkgGetINIPaths 
Dec 11 08:51:40.284005 - 14908/1124 MAIN_THREAD                       	PKGBLD: Exiting IntSvrPkgGetSpecIniFilePath 
Dec 11 08:51:40.284006 - 14908/1124 MAIN_THREAD                       	Package name not passed to SetupPackageRDB.  Using current running package. 
Dec 11 08:51:40.284007 - 14908/1124 MAIN_THREAD                       	PKGBLD: Entering IntSvrPkgGetSpecIniPrivateProfileString 
Dec 11 08:51:40.284008 - 14908/1124 MAIN_THREAD                       	PKGBLD: Entering IntSvrPkgGetSpecIniFilePath 
Dec 11 08:51:40.284009 - 14908/1124 MAIN_THREAD                       	Entering IntSvrPkgGetINIPaths 
